"Gene"	"Correlation"	"P.value"
"TMEM2"	0.39678647337811	2.93284055463536e-08
"PIK3R4"	0.39666460843189	2.96414232974729e-08
"RNF24"	0.396436739625994	3.0235362917786e-08
"GOLGA4"	0.396416748910827	3.02880114763266e-08
"FAM13A"	0.396007216747793	3.13861881601276e-08
"XPOT"	0.394990859434644	3.42795727833073e-08
"SOCS4"	0.394755242046177	3.49860725347773e-08
"DHRS9"	0.394695101546371	3.51686352311031e-08
"FHL2"	0.394163517360838	3.68226492847813e-08
"CSNK2A1"	0.394134991398594	3.69134901349637e-08
"EDIL3"	0.393900844172889	3.76673195322675e-08
"GSPT1"	0.393726334050956	3.82387543091221e-08
"TMEM170A"	0.393174620860283	4.01007011556601e-08
"DUSP4"	0.393082659573203	4.04194135617054e-08
"GRHL1"	0.392935796374541	4.09334571822405e-08
"EFNA5"	0.392871098834103	4.11618975282659e-08
"UBR2"	0.392444629129826	4.26986762880135e-08
"ATF6"	0.39150910861025	4.62653896717239e-08
"ANKFN1"	0.391326473794589	4.69943370693749e-08
"ANKRD17"	0.391237448082386	4.73536538930608e-08
"ABHD3"	0.390784704611122	4.92222166812187e-08
"CTSE"	0.390711936394331	4.95290802494461e-08
"B4GALT1"	0.390514596403831	5.03705454014666e-08
"ZNF488"	0.390155344791817	5.19378086155407e-08
"OSBPL10"	0.390022554469154	5.25288948946314e-08
"KDM2A"	0.389991220460824	5.26693109722986e-08
"RNF145"	0.389964543636958	5.27891411736667e-08
"EP300"	0.38986575283755	5.32351874558632e-08
"SPATA13"	0.389814415915968	5.34684045192457e-08
"CDK2"	0.38971680844212	5.39145336234191e-08
"MUC17"	0.388398999485632	6.0299248982089e-08
"ZBTB1"	0.388324155135303	6.0682864858355e-08
"DAAM1"	0.388228779083123	6.11751150158332e-08
"DTWD2"	0.388221604729059	6.12122976704465e-08
"AIM1"	0.388177195970512	6.14429393590276e-08
"SLC17A5"	0.388172609404957	6.14668076943469e-08
"ANXA3"	0.387767670492602	6.36095737755038e-08
"BTBD8"	0.387728564119738	6.38202666816263e-08
"ZNF720"	0.38760836411026	6.44720721932475e-08
"UBQLN1"	0.387604770597418	6.44916567558527e-08
"SGOL2"	0.387585590890248	6.45962824101634e-08
"ARID2"	0.386793227654597	6.90640366982664e-08
"ADAT1"	0.386385950063332	7.14744991299573e-08
"RAD50"	0.386241463883979	7.23488958168188e-08
"CYP2C18"	0.386190647417149	7.26588602053836e-08
"PANX1"	0.386180937185674	7.27182345095744e-08
"OSBPL8"	0.385317238139486	7.81899842059311e-08
"RBM12"	0.38524750423075	7.86486131950243e-08
"WDHD1"	0.385017429824971	8.01801691099776e-08
"GSR"	0.384637726050083	8.27706009070713e-08
"KBTBD12"	0.384598915809798	8.30398549634465e-08
"ATAD2"	0.384289072936725	8.52198183378077e-08
"MMADHC"	0.384208386497312	8.5796459268115e-08
"HTATIP2"	0.38416546283712	8.61047459674637e-08
"CPOX"	0.384141246157492	8.62791442002814e-08
"TFG"	0.383568936011933	9.05007794079982e-08
"CTBP2"	0.383027358662244	9.46778266752935e-08
"ERBB3"	0.382900656203355	9.56814305765344e-08
"TMEM45B"	0.382163583304487	1.01725338725578e-07
