"Gene"	"Correlation"	"P.value"
"LETM2"	0.0679557745071926	0.665024970580124
"DNMBP"	0.0679349684469409	0.665121506040063
"HLA-DMB"	0.06777088665029	0.665882996053604
"LOC148824"	0.0677626085199128	0.665921422969039
"EIF5"	0.0677074955556961	0.666177277769621
"SLC5A10"	0.0676541223099846	0.666425091808873
"DOCK3"	0.0676425970749306	0.666478608523694
"LOC100506502"	0.0675600372037304	0.666862017950992
"PPM1L"	0.0675370347347902	0.666968856732143
"NUP210P1"	0.0675271169116101	0.667014923712901
"KIAA0922"	0.0674777690449308	0.667244156012982
"LOC100507540"	0.0674768626219151	0.667248366838148
"C19orf63"	0.0674595395346677	0.667328843886961
"TARDBP"	0.0673127020502143	0.668011147765617
"SPDEF"	0.0672590038998378	0.668260730833412
"SFR1"	0.0669753615466667	0.669579654561211
"HOXD8"	0.0669535504463742	0.669681115862538
"DCBLD2"	0.0669528518872106	0.669684365529607
"GTF2B"	0.0668939312949169	0.66995848300703
"CALHM1"	0.0668209295877169	0.670298169051623
"HSPB2"	0.0667710797296559	0.670530163960546
"LEPREL2"	0.0667097761175205	0.670815504662208
"DCAF7"	0.0666807782996528	0.670950492372098
"MSS51"	0.0665519883994785	0.67155014560054
"LOC100652994"	0.0665193117439571	0.671702322040944
"MYCBP2"	0.0665151141423046	0.671721871372456
"PLEK2"	0.0664399894965817	0.672071782691523
"LOC100507603"	0.0663724299607803	0.672386516106064
"LHFPL2"	0.0663620707645441	0.67243478043365
"DNAH6"	0.0663585794691718	0.67245104695215
"C9orf93"	0.0663511925811214	0.672485464163289
"C11orf44"	0.0661136375205194	0.673592639837321
"GPR19"	0.0660797502433355	0.673750634247779
"DARC"	0.0659130029389188	0.674528270621986
"FYB"	0.0657758798986395	0.675168003341877
"RABGAP1"	0.0656674783516789	0.675673899044476
"RCAN3"	0.0656457899075989	0.67577513309113
"FCER1A"	0.0656391703882451	0.675806031809315
"IGHV1-2"	0.0654778140425972	0.676559376555856
"CCR3"	0.0653689204745743	0.677067957969213
"CNTFR"	0.0653219985603797	0.677287147916441
